0	0	0	0	0	0
527	3	2	6	1	2
545	3	0	4	2	6
522	3	10	5	3	2
523	3	3	2	4	2
505	3	6	4	5	5
527	3	10	5	6	4
512	3	10	5	7	3
515	3	10	5	8	8
500	3	10	5	9	3
502	3	2	6	10	5


0	0	0	0	0	0
527	3	8	5	1	4
527	3	10	11	1	4
500	3	1	4	3	5
500	3	6	7	4	2
500	3	6	7	5	3
500	3	3	5	6	7
545	3	0	4	8	5
509	3	8	5	9	3
500	3	8	5	10	11
505	3	16	8	11	10
500	3	11	10	13	8
505	3	16	8	13	8
509	3	11	10	14	3
500	3	11	10	15	8
505	3	16	8	15	8
518	3	8	5	16	8


0	0	0	0	0	0
505	3	3	5	1	10
505	3	3	5	2	5
527	3	4	5	3	5
545	3	0	4	4	5
503	3	4	5	5	9


0	0	0	0	0	0
516	3	3	6	1	3
500	3	3	6	2	7
527	3	5	9	3	6
507	3	5	9	4	4
545	3	0	4	5	9
516	3	7	14	6	3
518	3	5	9	7	14
500	3	12	2	8	7
500	3	12	2	9	2
505	3	12	2	10	9
500	3	12	2	11	4
500	3	7	14	12	2
509	3	7	14	14	3
516	3	17	11	15	3
505	3	17	11	16	9
518	3	5	9	17	11
500	3	7	14	17	11
500	3	22	4	18	4
505	3	22	4	19	5
500	3	22	4	20	4
500	3	22	4	21	6
500	3	17	11	22	4
515	3	25	4	24	3
500	3	17	11	25	4
500	3	22	4	25	4
509	3	22	4	26	3
516	3	30	11	27	3
505	3	30	11	28	10
505	3	30	11	29	8
500	3	17	11	30	11
500	3	22	4	30	11
500	3	33	5	31	4
505	3	33	5	32	10
500	3	5	9	33	5


