1000
13	1
100	2
14	1
101	2
1	2
201	2
1014	1
15	1
102	2
2	6
3	2
4	2
16	1
100	2
17	1
101	2
5	5
6	4
201	2
1017	1
18	1
102	2
7	3
19	1
102	2
8	8
20	1
101	2
9	3
10	5
201	2
1020	1
202	2
1019	1
202	2
1018	1
200	2
1016	1
202	2
1015	1
12	1
200	2
1013	1
1000
22	1
100	2
23	1
101	2
24	1
101	2
1	4
201	2
1024	1
15	1
25	1
102	2
null	5
26	1
103	2
5	2
27	1
101	2
6	3
7	7
201	2
1027	1
203	2
1026	1
202	2
1025	1
15	1
201	2
1023	1
28	1
102	2
null	5
17	3
12	11
29	1
101	2
13	10
15	1
null	8
17	3
18	8
19	8
201	2
1029	1
202	2
1028	1
21	1
200	2
1022	1
1000
8	1
100	2
9	1
101	2
1	10
2	5
3	5
201	2
1009	1
10	1
102	2
4	5
5	9
202	2
1010	1
7	1
200	2
1008	1
1000
37	1
100	2
38	1
101	2
1	3
2	7
3	6
201	2
1038	1
39	1
102	2
40	1
105	2
4	4
205	2
1040	1
41	1
102	2
5	9
42	1
101	2
43	1
101	2
44	1
101	2
28	3
7	14
201	2
1044	1
45	1
103	2
8	7
46	1
101	2
9	2
10	9
26	4
201	2
1046	1
203	2
1045	1
47	1
100	2
48	1
102	2
12	2
202	2
1048	1
200	2
1047	1
201	2
1043	1
13	1
27	3
49	1
101	2
50	1
101	2
28	3
16	9
31	11
201	2
1050	1
51	1
103	2
32	4
52	1
101	2
53	1
101	2
19	5
20	4
21	6
26	4
201	2
1053	1
24	1
54	1
101	2
null	3
26	4
201	2
1054	1
27	3
55	1
101	2
28	3
33	10
30	8
31	11
201	2
1055	1
201	2
1052	1
203	2
1051	1
56	1
103	2
32	4
57	1
101	2
33	10
34	5
201	2
1057	1
203	2
1056	1
201	2
1049	1
201	2
1042	1
202	2
1041	1
202	2
1039	1
36	1
200	2
1037	1
